#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7104.023400126983,-5758.332466530665,257.72169736241165,0
1000,2.0000000000000013,-7099.590190608069,-5617.940849408445,283.7599433692961,58.5
1500,2.999999999999891,-6956.242338651224,-5447.109580616965,289.0234646274882,58.4
2000,3.999999999999781,-6813.887469925026,-5100.800798733615,328.0839556884581,58.6
2500,4.999999999999671,-6743.058707472188,-5068.162999774049,320.76976511938904,58.5
3000,5.999999999999561,-6832.029180100981,-5197.679701630065,313.00450286101955,58.4
3500,6.999999999999451,-7046.624734072202,-5462.040002563943,303.4737445451029,58.4
4000,7.999999999999341,-6960.955188600541,-5489.11928098497,281.88051125223745,58.4
4500,8.999999999999675,-6971.696428742453,-5396.125661449058,301.7474238131868,58.4
5000,10.000000000000009,-7084.110114845793,-5484.361030875711,306.37796464370933,58.3
5500,11.000000000000343,-6972.618215423924,-5339.089742530667,312.8472669417341,58.4
6000,12.000000000000677,-6945.600292934089,-5349.040520388109,305.76715964152334,58.3
6500,13.00000000000101,-6926.870524304026,-5429.541211360479,286.76291294540727,58.3
7000,14.000000000001345,-6915.507160862699,-5317.840892379832,305.97907160723514,58.3
7500,15.000000000001679,-6954.635282059324,-5361.144632155892,305.17937274551065,58.3
8000,16.00000000000201,-6973.6284436280985,-5383.858549130557,304.46678757848895,58.3
8500,17.000000000001457,-6938.966924419567,-5258.389530259815,321.8579004721737,58.3
9000,18.000000000000902,-6863.892029239574,-5244.4971755796205,310.14044901813674,58.3
9500,19.000000000000348,-6994.15456131172,-5377.699804688566,309.57737262383483,58.3
10000,19.999999999999794,-7026.847827404767,-5427.5396310515125,306.2935274953878,58.3
10500,20.99999999999924,-6984.092449367647,-5448.306375547529,294.12800803576584,58.2
11000,21.999999999998685,-7112.9266968318125,-5455.176703636602,317.48608196907105,58.3
11500,22.99999999999813,-7057.759575081846,-5358.663503129574,325.40452841952964,58.3
12000,23.999999999997577,-7036.640620383401,-5378.864506601878,317.49108448612185,58.3
12500,24.999999999997023,-6982.9159085437,-5358.150231167621,311.1690490999214,58.3
13000,25.99999999999647,-7073.968925089934,-5458.227886651126,309.4406839850724,58.3
13500,26.999999999995914,-7094.22922153589,-5536.646471252049,298.30242603535623,58.3
14000,27.99999999999536,-7089.121324440905,-5541.458587876841,296.4025820891039,58.3
14500,28.999999999994806,-7008.84771015232,-5483.344200693316,292.15872974591184,58.3
15000,29.99999999999425,-6979.58630782485,-5308.046215277847,320.1271102490508,58.3
15500,30.999999999993697,-7156.801747031208,-5525.9980172729065,312.3254343217128,58.3
16000,31.999999999993143,-7161.645598382338,-5463.775780108404,325.16968089883335,58.2
16500,32.999999999994365,-7119.689578968689,-5532.440620929732,303.9839872512899,58.2
17000,33.99999999999559,-7022.630601850147,-5378.018838952294,314.9698972136872,58.2
17500,34.99999999999681,-7062.174300515405,-5368.223606472897,324.4191048758546,58.2
18000,35.99999999999803,-7055.20661215645,-5511.468530303071,295.6509468894108,58.2
18500,36.999999999999254,-7165.120431144191,-5493.192099037391,320.20146443828986,58.2
19000,38.000000000000476,-7055.621814609609,-5381.001549630628,320.71701335943055,58.2
19500,39.0000000000017,-6981.434419800462,-5298.546998193891,322.3003082938246,58.2
20000,40.00000000000292,-7020.514109184985,-5360.838197160226,317.8549267441539,58.2
20500,41.00000000000414,-7171.1689615964515,-5560.26143001249,308.51498882005063,58.2
21000,42.000000000005365,-7147.985921136891,-5497.7087574380175,316.0549135976316,58.2
21500,43.00000000000659,-7097.253043158878,-5444.549283370914,316.5196462099127,58.2
22000,44.00000000000781,-7095.567002416396,-5537.14255290704,298.4636251247254,58.2
22500,45.00000000000903,-7176.332138743132,-5604.529625361631,301.02574190984643,58.2
23000,46.00000000001025,-7044.095314526217,-5377.174409389721,319.2424607428751,58.1
23500,47.000000000011475,-7149.363402320724,-5449.2766760153245,325.59425483813965,58.2
24000,48.0000000000127,-7078.186941105594,-5489.92520968225,304.1779498240852,58.2
24500,49.00000000001392,-6952.311677562123,-5359.815349296166,304.9889439823108,58.2
25000,50.00000000001514,-7072.016050578604,-5339.0631985051195,331.8886523905113,58.1
25500,51.000000000016364,-7057.986392263543,-5383.147766611384,320.75883297931756,58.1
26000,52.000000000017586,-6956.951931562425,-5347.571382637903,308.2225468090294,58.1
26500,53.00000000001881,-7019.398548042842,-5403.386500072132,309.4925867175793,58.1
27000,54.00000000002003,-6853.177959316009,-5241.706782736996,308.62293600257806,58.2
27500,55.00000000002125,-7121.566090149041,-5353.635602252596,338.587438455694,58.2
28000,56.000000000022474,-7062.087711545986,-5364.038610814388,325.204016404961,58.2
28500,57.0000000000237,-7014.819668116612,-5332.4514183074825,322.20087845186106,58.2
29000,58.00000000002492,-6954.079400190323,-5317.348901257272,313.4605069995897,58.2
29500,59.00000000002614,-6987.601225394461,-5379.389045426613,307.9987851538515,58.2
30000,60.00000000002736,-6978.716176832971,-5174.80487727182,345.4783490081811,58.2
30500,61.000000000028585,-6905.133129895468,-5300.132519464909,307.38371736102977,58.2
31000,62.00000000002981,-7178.542178721817,-5529.904659494641,315.74089501746073,58.2
31500,63.00000000003103,-7109.059375568137,-5415.772977001317,324.2918814895107,58.2
32000,64.00000000003224,-7026.830938410314,-5264.24044715591,337.564742259905,58.2
32500,65.00000000002991,-7228.662088062078,-5617.119905854042,308.636534735227,58.2
33000,66.00000000002758,-7079.890326717739,-5449.274681868188,312.289413003057,58.2
33500,67.00000000002525,-7022.42287170786,-5466.862260708808,297.915153478361,58.2
34000,68.00000000002292,-7023.7815867890495,-5471.236085900011,297.33771086067867,58.2
34500,69.00000000002059,-7038.9059081133955,-5467.663448507003,300.9184825043383,58.2
35000,70.00000000001826,-6960.900430371576,-5264.279238176281,324.93054869966045,58.2
35500,71.00000000001593,-6935.035203003084,-5367.300675295193,300.2466564999097,58.2
36000,72.0000000000136,-7068.749989780565,-5474.8233963479515,305.2628630206474,58.2
36500,73.00000000001127,-7043.03747077312,-5472.0975014751075,300.8605506911967,58.2
37000,74.00000000000894,-7080.661374437937,-5433.654844923293,315.42853396441336,58.2
37500,75.00000000000661,-6988.442737726059,-5318.273931305717,319.8644866559883,58.2
38000,76.00000000000428,-6958.572216300071,-5380.371132299648,302.2511722367007,58.2
38500,77.00000000000195,-7033.884620545743,-5467.611268513048,299.96681759652216,58.2
39000,77.99999999999962,-7016.912540039455,-5362.485822485647,316.8496206407506,58.2
39500,78.99999999999729,-7110.127087340067,-5408.936147476392,325.8057296912315,58.2
40000,79.99999999999496,-6870.5320851754095,-5270.995354488678,306.33729553666615,58.2
40500,80.99999999999262,-6996.107909579368,-5381.576912396574,309.2089414068975,58.2
41000,81.9999999999903,-7054.621177910489,-5381.767834404269,320.3786191637817,58.2
41500,82.99999999998796,-7028.464855878811,-5266.332122834085,337.4770741187041,58.2
42000,83.99999999998563,-7064.634018744392,-5405.602455428361,317.73152348805627,58.2
42500,84.9999999999833,-6948.245756637212,-5274.788878703009,320.49420582139635,58.2
43000,85.99999999998097,-6984.041320863513,-5350.420161304313,312.8650179455293,58.2
43500,86.99999999997864,-7049.352077147254,-5401.337344916108,315.62162117998054,58.2
44000,87.99999999997631,-7015.954614566364,-5363.975969628289,316.3807749243669,58.2
44500,88.99999999997398,-7104.813871342157,-5508.032180359776,305.809660630924,58.2
45000,89.99999999997165,-6930.952301207555,-5206.210013867902,330.31619572406726,58.2
45500,90.99999999996932,-7034.555025278842,-5256.083214934366,340.6062731271074,58.2
46000,91.99999999996699,-6994.9900087629685,-5349.844938336345,315.0720342780751,58.2
46500,92.99999999996466,-7004.949457141785,-5438.192687645705,300.05939990207844,58.2
47000,93.99999999996233,-7068.234764637449,-5584.638570602869,284.1327973468427,58.2
47500,94.99999999996,-7097.577889590293,-5505.881513924752,304.83574005053003,58.2
48000,95.99999999995767,-6966.309685770051,-5335.738637718187,312.28087199106835,58.2
48500,96.99999999995534,-7019.970867635145,-5375.929592345796,314.86063955940915,58.2
49000,97.999999999953,-7031.3958945030845,-5267.143968191079,337.88293409163447,58.2
49500,98.99999999995067,-6927.020703615346,-5345.547977021619,302.87774499665545,58.2
50000,99.99999999994834,-7132.695338531907,-5563.135861488933,300.5961639748401,58.2
