#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7151.181520788961,-5896.631313132609,240.26676621762294,0
1000,2.0000000000000013,-6799.8789076284675,-5287.23258749397,289.6963689071075,58.9
1500,2.999999999999891,-6868.322302994931,-5219.472051705738,315.78163666677835,59.6
2000,3.999999999999781,-6999.058828534071,-5394.787179684885,307.24410936384913,59.4
2500,4.999999999999671,-6994.800756568013,-5236.628687823539,336.71854249702176,59.3
3000,5.999999999999561,-6968.566031721238,-5181.540959639363,342.24436184266136,59.4
3500,6.999999999999451,-6983.67895999139,-5319.875565731552,318.6454067131425,59.4
4000,7.999999999999341,-6927.597396428805,-5374.265486587111,297.48832096366704,59.2
4500,8.999999999999675,-6852.835158152271,-5198.666933384107,316.80011506869903,59.2
5000,10.000000000000009,-6809.273164622093,-5216.161491268167,305.10679257337694,59.3
5500,11.000000000000343,-6917.506545024406,-5295.7628986767995,310.5902810138065,59.2
6000,12.000000000000677,-6966.869415919924,-5257.30187797924,327.40998444292256,59.2
6500,13.00000000000101,-6811.786733268571,-5319.686332897154,285.7614911554518,59.2
7000,14.000000000001345,-7038.565152362866,-5414.293861670198,311.0743660103494,59.2
7500,15.000000000001679,-7004.05293350378,-5348.076666341095,317.1463845895718,59.2
8000,16.00000000000201,-7004.313825204073,-5259.328650335708,334.1930378749417,59.2
8500,17.000000000001457,-7004.836314658582,-5296.199834100943,327.23167181324686,59.2
9000,18.000000000000902,-6858.755105546009,-5234.6221468572285,311.0478731820547,59.2
9500,19.000000000000348,-7015.347002475292,-5326.124399284515,323.51359858970085,59.2
10000,19.999999999999794,-6898.763357654827,-5250.204907793259,315.72575194812345,59.2
10500,20.99999999999924,-6953.784377224201,-5220.642278873855,331.92489613004665,59.2
11000,21.999999999998685,-6998.453335300864,-5344.455167856804,316.76754632566696,59.2
11500,22.99999999999813,-6946.497207278581,-5278.387812252225,319.47007588396434,59.2
12000,23.999999999997577,-7003.610236511961,-5471.875550792801,293.3521013309014,59.3
12500,24.999999999997023,-6936.105565009817,-5421.2875657908735,290.1122807675479,59.3
13000,25.99999999999647,-6988.294079924419,-5195.256262520781,343.3959003508323,59.3
13500,26.999999999995914,-6906.597046532976,-5268.375250943827,313.74611456064616,59.3
14000,27.99999999999536,-6944.231926539567,-5361.109696632262,303.19365170537054,59.3
14500,28.999999999994806,-7054.404347193989,-5450.126692820928,307.2452595193328,59.3
15000,29.99999999999425,-6945.1738213514145,-5306.623454339306,313.80904133136005,59.3
15500,30.999999999993697,-7011.318053473589,-5334.51857958018,321.13436730476235,59.3
16000,31.999999999993143,-7087.232062790265,-5415.115478937851,320.23751770891835,59.3
16500,32.999999999994365,-6984.491061818232,-5411.153365801785,301.3197543495246,59.3
17000,33.99999999999559,-7072.8035764230945,-5389.022697689521,322.47141986301426,59.3
17500,34.99999999999681,-6930.38763341934,-5319.0449156091445,308.5983340593575,59.2
18000,35.99999999999803,-6823.475052512437,-5324.290811384237,287.11816185754543,59.2
18500,36.999999999999254,-7050.530767955478,-5402.458627319322,315.6326158231135,59.2
19000,38.000000000000476,-7008.682617913806,-5492.437369026658,290.385622288893,59.3
19500,39.0000000000017,-7000.366917194755,-5500.6221180270095,287.22551783789345,59.3
20000,40.00000000000292,-6941.675094092092,-5416.353985915369,292.1237969341518,59.3
20500,41.00000000000414,-7045.528682659219,-5454.032898391828,304.79732353577407,59.3
21000,42.000000000005365,-6936.9793355567,-5375.527388497457,299.04344013858775,59.3
21500,43.00000000000659,-7048.648227516247,-5458.248629134307,304.5873861125738,59.3
22000,44.00000000000781,-7107.060468356858,-5547.610141903202,298.66009724233385,59.3
22500,45.00000000000903,-7104.234614591968,-5455.112087595709,315.83378189241927,59.3
23000,46.00000000001025,-7034.240478596922,-5550.890155290317,284.08570910409424,59.3
23500,47.000000000011475,-6953.340652235657,-5449.254154171415,288.0570237811276,59.3
24000,48.0000000000127,-7045.517821641866,-5555.563718143136,285.3504404013278,59.3
