#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
22000,44.00000000000781,-6911.859956044012,-5313.123394209281,306.1840501891901,82.2
22500,45.00000000000903,-6911.819911586313,-5306.44048644,307.4562665393681,81.5
23000,46.00000000001025,-6821.979049260813,-5261.745688869919,298.81006097498533,80.9
23500,47.000000000011475,-6846.428710829657,-5119.423360641317,330.74960906143906,80.3
24000,48.0000000000127,-6988.364885765487,-5368.360248464107,310.2572325017501,79.6
24500,49.00000000001392,-6903.945579700116,-5283.985207660353,310.2487549843101,79.1
25000,50.00000000001514,-6953.62607382241,-5174.421804218797,340.746550986459,78.6
25500,51.000000000016364,-6840.859655337859,-5203.241539096524,313.63050014852763,78.1
26000,52.000000000017586,-7026.11414674761,-5468.41935008473,298.3238847390365,77.6
26500,53.00000000001881,-6970.961827238321,-5428.242450923535,295.4558482126166,77.1
27000,54.00000000002003,-7019.156954343073,-5337.64260630402,322.037342376771,76.7
27500,55.00000000002125,-6895.941172102908,-5395.183785788696,287.41944474309844,76.3
28000,56.000000000022474,-6884.40580920496,-5235.214573352916,315.846940755643,75.9
28500,57.0000000000237,-6974.276086867705,-5173.572586862374,344.8640032281179,75.5
29000,58.00000000002492,-6914.362607804753,-5208.960501964276,326.6122364576223,75.2
29500,59.00000000002614,-6984.008948185317,-5236.3811855497715,334.69913640602635,74.8
30000,60.00000000002736,-6987.302427370093,-5346.389435298361,314.2615224512037,74.4
30500,61.000000000028585,-7011.791342263237,-5483.242774572764,292.7419079158684,74.1
31000,62.00000000002981,-6859.179679835891,-5208.025101464322,316.22295277593946,73.8
31500,63.00000000003103,-6846.1220235445935,-5132.756805841971,328.1373018750687,73.5
32000,64.00000000003224,-6857.654449114929,-5192.886799173107,318.8300773569347,73.3
32500,65.00000000002991,-6921.831952147564,-5241.763623278697,321.76040619056744,73
33000,66.00000000002758,-6979.704282541232,-5304.9197832828695,320.74846689470405,72.7
33500,67.00000000002525,-6929.8534264452655,-5387.116679759047,295.4591749212223,72.5
34000,68.00000000002292,-6944.211591719092,-5419.4708715175275,292.0126431986601,72.3
34500,69.00000000002059,-6950.38660561582,-5302.365499932745,315.6228417996699,72
35000,70.00000000001826,-6984.636332516069,-5376.632811897344,307.95882349528347,71.8
35500,71.00000000001593,-7013.000991441154,-5387.39144539984,311.33066367227644,71.6
36000,72.0000000000136,-6975.966675210757,-5357.158385539009,310.02811247571236,71.4
36500,73.00000000001127,-6919.017471720168,-5366.234929206779,297.38310818650433,71.2
37000,74.00000000000894,-6878.427654196963,-5297.960263472449,302.6852068289645,71
37500,75.00000000000661,-6964.491740704639,-5357.722475326643,307.7224435452684,70.8
38000,76.00000000000428,-6951.196413232834,-5304.296583530691,315.40809921517064,70.6
38500,77.00000000000195,-6977.083879723288,-5350.963669425765,311.42846418174474,70.4
39000,77.99999999999962,-6855.161464057832,-5252.271242036446,306.97954366161065,70.3
39500,78.99999999999729,-6855.680368000323,-5379.654038778297,282.68304513436277,70.1
40000,79.99999999999496,-6907.327695314076,-5254.215017774809,316.5979606090933,69.9
40500,80.99999999999262,-6966.10642444579,-5307.683876716152,317.61488709947207,69.8
41000,81.9999999999903,-6978.355385887189,-5368.420836129744,308.3286469776764,69.6
41500,82.99999999998796,-6986.074527720842,-5471.865215850121,289.99570724191096,69.5
42000,83.99999999998563,-6982.201574025685,-5389.757674948789,304.97890294000393,69.3
42500,84.9999999999833,-6948.286799964276,-5323.960505916077,311.0849000473962,69.2
43000,85.99999999998097,-7012.6662224545435,-5366.177178747161,315.32942701698664,69.1
43500,86.99999999997864,-6898.951773018995,-5365.835012570611,293.61679111679837,68.9
44000,87.99999999997631,-6979.9531415824,-5287.172151827865,324.1950874830179,68.8
44500,88.99999999997398,-6998.6308326540475,-5349.767228380757,315.7841939803787,68.7
45000,89.99999999997165,-7005.948895708636,-5472.287496597516,293.7210982776072,68.5
45500,90.99999999996932,-6943.2436318384425,-5324.082073284582,310.095769211483,68.4
46000,91.99999999996699,-6944.402170294275,-5319.659592687169,311.16462511851535,68.3
46500,92.99999999996466,-6922.710867288229,-5378.564304653074,295.7291776018209,68.2
47000,93.99999999996233,-6952.669985988567,-5421.651220674836,293.21499093098925,68.1
47500,94.99999999996,-6910.075930945708,-5438.9356173587585,281.74729368403086,68
48000,95.99999999995767,-7023.224069091488,-5402.358151830518,310.42218162011596,67.9
48500,96.99999999995534,-6995.437996317353,-5490.703956301798,288.18103859510853,67.8
49000,97.999999999953,-7075.244204388652,-5612.374008926832,280.16343157469777,67.7
49500,98.99999999995067,-7022.940208561156,-5389.68160775441,312.795582048517,67.6
50000,99.99999999994834,-6941.311579010812,-5301.9156967103945,313.9709712588112,67.5
