#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7260.212376473779,-5892.164964442024,262.0033265430653,0
1000,2.0000000000000013,-7123.890003436329,-5610.136397531975,289.9084321386773,32.3
1500,2.999999999999891,-6967.364471539813,-5375.83726237832,304.80334191402505,32.1
2000,3.999999999999781,-6973.101875814124,-5369.503039394695,307.1152548422983,32
2500,4.999999999999671,-6927.09788754804,-5267.466420002468,317.8464149036349,32
3000,5.999999999999561,-6936.556358322379,-5361.984943594995,301.55603154535953,32
3500,6.999999999999451,-6991.969022237397,-5403.3541655623985,304.2455790522876,32.2
4000,7.999999999999341,-6994.526108870306,-5512.27000001673,283.8761492422623,32.1
4500,8.999999999999675,-6938.421926098113,-5314.541808224384,310.99945005428384,32.1
5000,10.000000000000009,-6842.670240180317,-5334.025143354412,288.9300695757591,32
5500,11.000000000000343,-6851.199482791364,-5189.59546996345,318.2241894026656,32
6000,12.000000000000677,-6989.395118149004,-5420.333214638457,300.5008705518571,32
6500,13.00000000000101,-7028.868113286758,-5463.036555996024,299.88220671898614,32
7000,14.000000000001345,-6953.1851165604385,-5389.922695876912,299.3901752794965,32
7500,15.000000000001679,-7011.713149065828,-5403.467953391646,308.00510819851473,32
8000,16.00000000000201,-7181.12080051355,-5546.501669394786,313.05614572816444,32
8500,17.000000000001457,-6962.218964249845,-5401.258380949395,298.94933598823866,32
9000,18.000000000000902,-6929.831175331782,-5302.7576238550155,311.61104452077063,32
9500,19.000000000000348,-6970.246133109973,-5358.447804647325,308.6855909084268,32
10000,19.999999999999794,-7038.944397115251,-5395.642803474747,314.7189784949785,32
10500,20.99999999999924,-7074.161084339215,-5495.0178729344825,302.4316049554687,32
11000,21.999999999998685,-7028.768372973964,-5376.0135701921245,316.52942177329913,32
11500,22.99999999999813,-6843.235089543283,-5208.960079895889,312.9902408703058,32
12000,23.999999999997577,-6839.849883138337,-5102.217112163471,332.7849329648025,32
12500,24.999999999997023,-6993.35067849591,-5257.636295185486,332.41753053030914,32
13000,25.99999999999647,-6814.531209551156,-5162.695395529553,316.3534204811511,31.9
13500,26.999999999995914,-6962.033358451454,-5324.359201769223,313.6412328042869,31.9
14000,27.99999999999536,-6892.776683650401,-5188.872504651108,326.3253591083017,31.9
14500,28.999999999994806,-7012.951038617248,-5414.446022592909,306.13970540111023,31.9
15000,29.99999999999425,-7066.188690110697,-5531.15580998418,293.9837591950317,31.9
15500,30.999999999993697,-7035.803055964332,-5406.829941862778,311.97484165403836,31.9
16000,31.999999999993143,-7083.826955915354,-5571.247795051011,289.6835068147312,31.9
16500,32.999999999994365,-7083.393825739588,-5553.995862687282,292.90458094049666,31.9
17000,33.99999999999559,-7056.571792905753,-5349.14588370878,326.9998277114103,31.9
17500,34.99999999999681,-7103.579588630051,-5634.253148160455,281.3999074849167,31.9
18000,35.99999999999803,-7058.72527706325,-5473.696908252681,303.5587083029096,31.9
18500,36.999999999999254,-7084.592370373779,-5383.231866240765,325.83820400625797,31.9
19000,38.000000000000476,-7117.986821484266,-5491.776000288649,311.4458176422411,31.9
19500,39.0000000000017,-7006.567942057594,-5245.6064799894175,337.2527566795273,31.9
20000,40.00000000000292,-6952.003896926627,-5279.310689724358,320.3479504574442,31.9
