#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7101.797620820907,-5794.6513685200725,250.3397640820726,0
1000,2.0000000000000013,-6890.690960404447,-5355.844352173447,293.94808509789317,58.9
1500,2.999999999999891,-6825.09041841535,-5209.88403488021,309.3382888764807,58.9
2000,3.999999999999781,-6870.432583226422,-5178.125307081445,324.10436362327334,59.1
2500,4.999999999999671,-7118.172746959257,-5469.442000918168,315.75874946837615,59.2
3000,5.999999999999561,-7020.545321091079,-5404.844871318338,309.4329105954692,59.2
3500,6.999999999999451,-6931.23920698586,-5316.603710231581,309.228954774205,59.2
4000,7.999999999999341,-6876.592571388243,-5305.559419824117,300.8783966104843,59.1
4500,8.999999999999675,-6923.9789261858705,-5310.3020734502825,309.04535885519044,59.2
5000,10.000000000000009,-7090.925510563395,-5540.539338847987,296.92416420899326,59.2
5500,11.000000000000343,-6950.490105433066,-5289.918261196351,318.02651233236156,59.2
6000,12.000000000000677,-7068.795757154011,-5410.435412610502,317.60297417778236,59.2
6500,13.00000000000101,-7034.443486994946,-5378.879943762355,317.06734124525696,59.2
7000,14.000000000001345,-7074.84649073709,-5470.59778432383,307.23971551428014,59.2
7500,15.000000000001679,-7134.938996250225,-5569.199829227524,299.8645124802106,59.2
8000,16.00000000000201,-7113.472009561879,-5536.947011038397,301.9301746114231,59.2
8500,17.000000000001457,-7078.9894067815785,-5490.919391567482,304.14123305233204,59.2
9000,18.000000000000902,-6959.18813725527,-5303.793772075671,317.0349408969412,59.2
9500,19.000000000000348,-7032.0222607597425,-5461.234901792404,300.8313233311288,59.2
10000,19.999999999999794,-7048.513953514896,-5332.858710762925,328.57587891232595,59.2
10500,20.99999999999924,-6943.867436922381,-5288.336723605946,317.061053782434,59.2
11000,21.999999999998685,-7016.785262671667,-5389.764631312514,311.60090945766245,59.2
11500,22.99999999999813,-7049.768921769318,-5360.823149127176,323.4605810378283,59.1
12000,23.999999999997577,-7081.177875396552,-5454.39832002808,311.5547394850779,59.1
12500,24.999999999997023,-7043.2483218752495,-5561.454533512071,283.7876073501114,59.1
13000,25.99999999999647,-7123.5673794927425,-5461.43271797754,318.3258172556716,59.1
13500,26.999999999995914,-7002.483918931961,-5373.321975634488,312.01100551579043,59.1
14000,27.99999999999536,-7082.704308243739,-5443.298888947409,313.9727977486188,59.1
14500,28.999999999994806,-7121.393200702722,-5474.032950799636,315.49627717098866,59
15000,29.99999999999425,-7037.365546965408,-5471.438179592536,299.90055590777575,59.1
15500,30.999999999993697,-7073.184451628833,-5471.998289690169,306.6531884444041,59.1
16000,31.999999999993143,-7068.540982319462,-5515.947524744581,297.3468953458876,59.1
16500,32.999999999994365,-7044.63474678763,-5437.7687829863735,307.7409628658292,59.1
17000,33.99999999999559,-7047.667907584115,-5436.311289229577,308.60099623964936,59
17500,34.99999999999681,-6960.530034455949,-5335.852265014855,311.15221330081596,59
18000,35.99999999999803,-7135.319668003828,-5551.3103735765235,303.3635389863626,59
18500,36.999999999999254,-7103.048917221178,-5494.9582276214915,307.97551777267665,59
19000,38.000000000000476,-7087.364063718804,-5499.437267021905,304.1138043772741,59
19500,39.0000000000017,-7047.552951209582,-5426.450645854285,310.46745378431456,59
20000,40.00000000000292,-7064.778361091754,-5469.097297421764,305.5988726022386,59
20500,41.00000000000414,-6991.302497966199,-5387.071781098499,307.23627022375996,59
21000,42.000000000005365,-7069.534880951969,-5487.572738437923,302.9714761042609,59
21500,43.00000000000659,-7008.5265057032175,-5376.318556219651,312.59436523447295,59
22000,44.00000000000781,-7139.888212621062,-5502.74937196047,313.5387110808525,59.1
22500,45.00000000000903,-7130.129541434254,-5541.496952809022,304.2489750091135,59.1
23000,46.00000000001025,-7152.533603300396,-5513.347174422344,313.9308575223039,59.1
23500,47.000000000011475,-6916.641256545854,-5272.83017517523,314.81655368056806,59.1
24000,48.0000000000127,-6841.650186077206,-5155.893871617092,322.8497479291131,59.1
24500,49.00000000001392,-7049.238980496291,-5250.549430564335,344.47829903828114,59.1
25000,50.00000000001514,-6930.6864600336985,-5341.375518876499,304.3788905503304,59.1
25500,51.000000000016364,-7022.014963902422,-5443.586630568576,302.2946941795719,59.1
26000,52.000000000017586,-7124.43574191911,-5422.445544975148,325.9588004195972,59.1
26500,53.00000000001881,-6966.169312787628,-5350.780398355808,309.3732465115061,59.1
27000,54.00000000002003,-6871.0567428901795,-5302.002328554219,300.4994362531352,59.1
27500,55.00000000002125,-6991.1378120251775,-5277.785733615315,328.1347854868345,59.1
28000,56.000000000022474,-7149.842070053526,-5493.379216105018,317.2395738719143,59.1
28500,57.0000000000237,-6986.340096481914,-5393.982011676589,304.96246811148956,59.1
29000,58.00000000002492,-7012.692116612386,-5422.019772947284,304.6396212696735,59.1
29500,59.00000000002614,-7026.976887099884,-5374.4923389992,316.47766360698586,59.1
30000,60.00000000002736,-6925.3924865628815,-5358.881179398761,300.01238987380833,59.1
30500,61.000000000028585,-7002.8575037143655,-5408.603452095118,305.3255765885013,59.1
31000,62.00000000002981,-6898.247462252742,-5346.809342647178,297.1256293366977,59.1
31500,63.00000000003103,-7084.894070726642,-5462.707078656884,310.67518892927114,59.1
32000,64.00000000003224,-7031.845891905088,-5428.467066593414,307.07311913735066,59.1
32500,65.00000000002991,-7190.625394951257,-5629.917766713349,298.9008909802155,59.1
33000,66.00000000002758,-7009.063010605042,-5371.7164544275665,313.57849198019824,59.1
33500,67.00000000002525,-7059.801401817926,-5353.596344431785,326.7660147361868,59.1
34000,68.00000000002292,-6974.860555014697,-5309.698800912682,318.9055547125196,59.1
34500,69.00000000002059,-7062.223850212824,-5477.598791971132,303.4814677703472,59.1
35000,70.00000000001826,-6908.546478274122,-5349.284426570828,298.62403956592203,59.1
35500,71.00000000001593,-7168.704150750045,-5486.17487854291,322.2317168596198,59.1
36000,72.0000000000136,-6920.502590827335,-5377.09447900442,295.5877522626159,59.1
36500,73.00000000001127,-7074.232064906102,-5398.427115802972,320.9438996344965,59.1
37000,74.00000000000894,-6897.317171135106,-5325.835300419179,300.96433362510925,59.1
37500,75.00000000000661,-7020.560883344553,-5393.6047382787665,311.58855928380916,59.1
38000,76.00000000000428,-7087.008585796625,-5335.526409560127,335.43731929094724,59.1
38500,77.00000000000195,-7002.502779431896,-5424.452669017395,302.2222583398693,59.1
39000,77.99999999999962,-7150.652784597514,-5605.929711435539,295.83958874290107,59.1
39500,78.99999999999729,-6967.364920086071,-5362.152188565687,307.42434199923684,59.1
40000,79.99999999999496,-6942.8253730180895,-5406.227622988993,294.28345722923524,59.1
40500,80.99999999999262,-7103.28623903786,-5430.901189615882,320.28893323126744,59.1
41000,81.9999999999903,-7085.601283885902,-5452.780172776622,312.7117956570101,59.1
41500,82.99999999998796,-7001.6411945123855,-5469.605311296886,293.4097855495134,59.1
42000,83.99999999998563,-7143.913390503911,-5623.742851025532,291.1373792700514,59.1
42500,84.9999999999833,-7036.850757531887,-5385.701996292795,316.221838700472,59.1
43000,85.99999999998097,-7023.444894671158,-5486.844334311815,294.28399545317893,59.1
43500,86.99999999997864,-7099.175638695551,-5474.924069156302,311.07058908876496,59.1
44000,87.99999999997631,-6958.567885390682,-5533.177602398826,272.98541883967914,59.1
44500,88.99999999997398,-7133.488259541212,-5536.949212487846,305.7631903726505,59.1
45000,89.99999999997165,-7004.659197539572,-5521.013388618572,284.1422994044276,59.1
45500,90.99999999996932,-7111.4953132839355,-5519.779132806298,304.83953299411166,59.1
46000,91.99999999996699,-7088.567766836118,-5538.625229245269,296.83920105977757,59.1
