#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7137.297617554826,-5813.35123230049,253.55726274584052,0
1000,2.0000000000000013,-6998.843865625897,-5521.250220771055,282.98321156567874,60.1
1500,2.999999999999891,-6844.580570699714,-5293.952998268213,296.970396371775,60.3
2000,3.999999999999781,-6841.406860941686,-5304.579228739041,294.3274834038057,60.3
2500,4.999999999999671,-6878.4032620011185,-5178.534819203164,325.55244999674505,60.3
3000,5.999999999999561,-6902.279194759806,-5262.442095844065,314.0554714156946,60.4
3500,6.999999999999451,-6987.308326989895,-5405.378276015428,302.96533005256003,60.4
4000,7.999999999999341,-7097.017576895554,-5529.383819005617,300.2273574410564,60.5
4500,8.999999999999675,-7121.253526959537,-5416.2226022370405,326.54114923739485,60.6
5000,10.000000000000009,-7177.81131908037,-5585.366036885537,304.97916782958094,60.6
5500,11.000000000000343,-6899.801909023696,-5276.454662235543,310.89739657586506,60.6
6000,12.000000000000677,-6857.469268607603,-5094.426221439146,337.65141407689475,60.6
6500,13.00000000000101,-6972.240578180812,-5365.920237359753,307.6364671922197,60.6
7000,14.000000000001345,-6904.57549824803,-5267.946230229509,313.44111963324366,60.6
7500,15.000000000001679,-6886.800519489183,-5284.449529786217,306.8762719036563,60.6
8000,16.00000000000201,-6924.334292992485,-5361.01773439946,299.4005435695542,60.6
8500,17.000000000001457,-6869.451389587286,-5270.915354218155,306.1456461100736,60.6
9000,18.000000000000902,-7007.1658383198865,-5445.951020423187,298.9980260477745,60.6
9500,19.000000000000348,-7041.911115172362,-5408.9932496254305,312.73032570523753,60.6
10000,19.999999999999794,-6831.493598306299,-5257.743466137174,301.39874257978454,60.6
10500,20.99999999999924,-6958.7748824831015,-5315.530055863099,314.70810668740904,60.6
11000,21.999999999998685,-7052.021806056082,-5363.609794740976,323.3583570636931,60.7
11500,22.99999999999813,-7000.7412384884665,-5454.350903007512,296.15889658994683,60.7
12000,23.999999999997577,-6990.452193846789,-5375.129280910696,309.3606061517603,60.7
12500,24.999999999997023,-7029.735704557459,-5393.833202058831,313.3019322175487,60.7
13000,25.99999999999647,-7057.442705097186,-5505.390083149677,297.2433165281958,60.7
13500,26.999999999995914,-7048.428703039681,-5472.010045531484,301.90980857768227,60.7
14000,27.99999999999536,-7076.38174371431,-5470.023146975302,307.64379382262337,60.7
14500,28.999999999994806,-7031.546934826914,-5362.484446377998,319.6526087735563,60.7
15000,29.99999999999425,-6909.530046473836,-5257.143567706137,316.45888173491903,60.7
15500,30.999999999993697,-7042.145061005756,-5392.676962163867,315.8999645205348,60.7
16000,31.999999999993143,-6926.66691792551,-5291.081299368698,313.2412437895353,60.7
16500,32.999999999994365,-7062.843902165111,-5462.974606260538,306.40098718404664,60.7
17000,33.99999999999559,-7108.889630422584,-5495.779967095734,308.9367328598029,60.7
17500,34.99999999999681,-7051.208966294376,-5426.289603186604,311.1984824167726,60.7
18000,35.99999999999803,-6910.379354645631,-5279.312702109927,312.37578830922644,60.7
18500,36.999999999999254,-6968.921399586883,-5399.2430692393355,300.6189263154543,60.7
19000,38.000000000000476,-6962.914407422063,-5460.351853079293,287.7651637761465,60.7
19500,39.0000000000017,-6982.265671329165,-5424.257444186414,298.3839117729272,60.7
20000,40.00000000000292,-7013.867211042229,-5303.149413466107,327.6302778685907,60.7
20500,41.00000000000414,-6912.850667065677,-5199.821050110459,328.0730288744132,60.7
21000,42.000000000005365,-6991.689466259697,-5300.100564253626,323.96678329349777,60.7
21500,43.00000000000659,-6922.179382817816,-5266.808576026541,317.03042908247147,60.7
22000,44.00000000000781,-6991.131912840382,-5420.650461470797,300.7727370515003,60.7
22500,45.00000000000903,-6968.599967359345,-5243.067324750777,330.467561610794,60.7
23000,46.00000000001025,-6888.355567380631,-5324.7484855174525,299.456183500268,60.7
23500,47.000000000011475,-6941.410186899593,-5421.7000376293745,291.04920705833945,60.7
24000,48.0000000000127,-7019.748229959176,-5546.363465451863,282.17714253446235,60.7
24500,49.00000000001392,-6944.369193413918,-5363.063260933088,302.84580121163555,60.7
25000,50.00000000001514,-6960.886689903852,-5402.283103325688,298.49793278652317,60.7
25500,51.000000000016364,-6959.505641558511,-5252.050815413337,327.0053657772374,60.7
26000,52.000000000017586,-6951.846055258671,-5232.522591504516,329.2784028867254,60.7
26500,53.00000000001881,-6919.246416147373,-5351.730853281973,300.204721171774,60.7
27000,54.00000000002003,-6938.64943486133,-5207.825298356698,331.48096874197796,60.7
27500,55.00000000002125,-6843.867417838596,-5221.0762102258195,310.7909060314912,60.7
28000,56.000000000022474,-6810.806921164076,-5304.173078778919,288.54488164340665,60.7
28500,57.0000000000237,-6888.178748097339,-5183.518141944342,326.47022720922814,60.7
29000,58.00000000002492,-6986.964130576076,-5326.735922940927,317.9607003349554,60.7
29500,59.00000000002614,-6980.991906820528,-5389.576685224845,304.7818944740346,60.7
30000,60.00000000002736,-6955.928155999901,-5426.117311796972,292.98365439509985,60.7
30500,61.000000000028585,-6901.593520948675,-5387.442785344641,289.9844889342753,60.7
31000,62.00000000002981,-7011.60706825509,-5397.096127415815,309.20510029095783,60.7
31500,63.00000000003103,-6832.949210957264,-5087.438082989326,334.2937664465407,60.7
32000,64.00000000003224,-6976.680379673936,-5271.6338421642085,326.544139340044,60.7
32500,65.00000000002991,-6917.006029291124,-5325.7822201308045,304.74523587992024,60.7
33000,66.00000000002758,-7068.791291735151,-5401.680273639499,319.2788704661638,60.7
33500,67.00000000002525,-6861.031657783429,-5206.572713199451,316.855792641103,60.7
34000,68.00000000002292,-6964.420805869651,-5260.929425430359,326.2463014711462,60.7
34500,69.00000000002059,-6943.709939728944,-5162.649199054307,341.1020953864274,60.7
35000,70.00000000001826,-6941.39331307939,-5195.129025942556,334.4380086752324,60.7
35500,71.00000000001593,-6986.830456141286,-5289.283947490432,325.1077618483638,60.7
36000,72.0000000000136,-6929.128480089504,-5284.607848118758,314.9524441591781,60.7
36500,73.00000000001127,-6925.716345468326,-5163.893304123509,337.4177631219758,60.7
37000,74.00000000000894,-6990.947792444316,-5344.981450498765,315.22932112943823,60.7
37500,75.00000000000661,-7047.749528419756,-5519.998036566679,292.5892549309875,60.7
38000,76.00000000000428,-7070.339207336459,-5496.0299449626145,301.5058251065444,60.7
38500,77.00000000000195,-6889.001873739833,-5323.9825190585,299.72665671127567,60.7
39000,77.99999999999962,-6914.648892434455,-5268.729018560956,315.2204217379781,60.7
39500,78.99999999999729,-7196.517414660442,-5479.122188051842,328.9091141164267,60.7
40000,79.99999999999496,-6991.595895199615,-5423.271797631353,300.35956871573524,60.7
40500,80.99999999999262,-7033.3383169021445,-5358.933861808151,320.67568225696255,60.7
41000,81.9999999999903,-6945.439145739243,-5298.933840160782,315.3325414297483,60.7
41500,82.99999999998796,-7000.349759189254,-5367.019586843382,312.8092891621532,60.7
42000,83.99999999998563,-7071.089945537987,-5459.278061779846,308.68818696794915,60.7
42500,84.9999999999833,-7036.115024457719,-5473.881096526084,299.19320219219657,60.8
43000,85.99999999998097,-7126.22957449418,-5547.560175974311,302.34086208288886,60.8
43500,86.99999999997864,-7083.260195339055,-5463.080010030143,310.2908527999479,60.8
44000,87.99999999997631,-7126.294905647555,-5550.355392529466,301.8180446351474,60.8
44500,88.99999999997398,-7036.106752445656,-5348.019072980982,323.29624224006204,60.8
45000,89.99999999997165,-6992.364469404092,-5411.40274210689,302.77988032151814,60.8
45500,90.99999999996932,-6978.372104925587,-5355.040078340641,310.89448165944066,60.8
46000,91.99999999996699,-7084.60525330058,-5465.668043901185,310.0528027000449,60.8
46500,92.99999999996466,-7032.728636363019,-5527.752628965541,288.2273792836119,60.8
47000,93.99999999996233,-7034.601964347787,-5487.141673967005,296.36381035283273,60.8
47500,94.99999999996,-7057.75435953234,-5401.485398561663,317.20244021357877,60.8
48000,95.99999999995767,-7047.598882396043,-5462.390349973701,303.59321256437846,60.8
48500,96.99999999995534,-7105.747519566148,-5501.6143730156455,307.2175839213317,60.8
49000,97.999999999953,-7020.533540150408,-5324.771505467148,324.7660060645166,60.8
49500,98.99999999995067,-6998.385491927074,-5288.234574564598,327.5217110890915,60.8
50000,99.99999999994834,-7073.908282344013,-5426.0583382848,315.590061565276,60.7
