#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7222.828563678928,-5839.9025308313285,264.8528243849089,0
1000,2.0000000000000013,-6963.081971190268,-5478.664635856641,284.2900592589808,59.7
1500,2.999999999999891,-7016.962292356688,-5334.09300387073,322.29683550634707,59.8
2000,3.999999999999781,-6965.102911381797,-5377.614175599197,304.0299085884548,59.7
2500,4.999999999999671,-7110.950455205731,-5535.44338195716,301.7352253678125,59.5
3000,5.999999999999561,-7020.050962401447,-5456.46651893502,299.45184787914525,59.5
3500,6.999999999999451,-7022.772652535548,-5527.034976350118,286.4580886230869,59.6
4000,7.999999999999341,-7096.820010252477,-5516.517797571414,302.653572547524,59.6
4500,8.999999999999675,-7127.024457123237,-5435.244170012243,324.00343665338846,59.6
5000,10.000000000000009,-6895.386468620167,-5314.688711602064,302.7293257203953,59.5
5500,11.000000000000343,-6912.33969928076,-5280.940069650327,312.4395588377288,59.6
6000,12.000000000000677,-6932.4497454193515,-5316.417710558862,309.49641453199797,59.5
6500,13.00000000000101,-6926.394058341956,-5429.037521206762,286.7681268208265,59.5
7000,14.000000000001345,-6942.424539470182,-5351.802874175461,304.62991553761583,59.5
7500,15.000000000001679,-6953.917647289726,-5386.122108418305,300.2583411298872,59.5
8000,16.00000000000201,-7013.60392130565,-5448.816468002035,299.68224382627045,59.5
8500,17.000000000001457,-7079.036035638548,-5581.17937104349,286.8639093624457,59.5
9000,18.000000000000902,-6963.7721737801285,-5439.230041291212,291.9746104222616,59.5
9500,19.000000000000348,-7167.073169906603,-5511.423366449233,317.0838614810627,59.4
10000,19.999999999999794,-7144.502971152858,-5661.889223308468,283.9446429249157,59.4
10500,20.99999999999924,-7041.669711131575,-5392.754158221629,315.79414298908506,59.4
11000,21.999999999998685,-6992.95185706614,-5427.36403218943,299.83552799813265,59.4
11500,22.99999999999813,-7054.895650440936,-5352.96623666732,325.947159454022,59.4
12000,23.999999999997577,-6867.902373907782,-5295.798985121385,301.0833644427091,59.4
12500,24.999999999997023,-6996.5946251133755,-5287.39004442558,327.34047222659643,59.5
13000,25.99999999999647,-6892.250892368754,-5301.995220330605,304.55982187721264,59.5
13500,26.999999999995914,-6951.569644631794,-5384.40645425316,300.13723611028973,59.5
14000,27.99999999999536,-6977.528100876789,-5436.990293281264,295.03804232628414,59.5
14500,28.999999999994806,-6969.355078608114,-5360.728387136755,308.07817084754544,59.5
15000,29.99999999999425,-7045.08309457663,-5363.5468246891505,322.041540767237,59.6
15500,30.999999999993697,-6911.424672547739,-5297.4983911209565,309.0931285057548,59.5
16000,31.999999999993143,-7100.585646437386,-5349.357351847832,335.388696826943,59.5
16500,32.999999999994365,-6873.445525597537,-5235.046926850349,313.7799752405776,59.5
17000,33.99999999999559,-6974.486125219349,-5321.731322006875,316.52942185577274,59.5
17500,34.99999999999681,-6918.333813509882,-5228.985542833476,323.53766595679895,59.5
18000,35.99999999999803,-6956.774342466787,-5346.23135440093,308.44517280813966,59.5
18500,36.999999999999254,-7002.718465822395,-5462.120211688387,295.04961882138304,59.5
19000,38.000000000000476,-6963.942333189843,-5358.379530998541,307.49138622555466,59.5
19500,39.0000000000017,-7033.330400495745,-5359.1181938396,320.6388635547772,59.5
20000,40.00000000000292,-6931.414120868152,-5226.971834894499,326.42841534456863,59.5
20500,41.00000000000414,-6868.519691922618,-5242.88735593425,311.3350283177467,59.5
21000,42.000000000005365,-7031.017937787983,-5371.707648550869,317.78490403457494,59.5
21500,43.00000000000659,-6978.162356904766,-5229.531453175753,334.8912542384706,59.5
22000,44.00000000000781,-6954.898152824112,-5449.6151132642635,288.286180935652,59.5
22500,45.00000000000903,-7048.968478407683,-5480.776945994839,300.3341803327028,59.5
23000,46.00000000001025,-6953.722177451818,-5437.643763692942,290.35367064876203,59.5
23500,47.000000000011475,-6968.628431883569,-5322.573636683075,315.24626136618355,59.5
24000,48.0000000000127,-6929.08548908147,-5325.621528750243,307.0894238780576,59.5
24500,49.00000000001392,-7013.894558556402,-5323.4953420876645,323.7389391664741,59.6
25000,50.00000000001514,-7107.108439696771,-5404.954028985633,325.99025002644964,59.6
25500,51.000000000016364,-7031.955769395966,-5384.803097324806,315.4565226405512,59.6
26000,52.000000000017586,-7008.39568029024,-5381.323769701496,311.61073026403056,59.5
26500,53.00000000001881,-7000.702170089486,-5507.188404502531,286.0321735783227,59.6
27000,54.00000000002003,-7094.019066585627,-5442.1150255956145,316.3664870551061,59.6
27500,55.00000000002125,-7115.321178179279,-5556.726052130563,298.4963124575488,59.6
28000,56.000000000022474,-6999.005636775961,-5461.688111376039,294.42130591771013,59.6
