#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7135.370937177824,-5771.332980973877,261.23545055041023,0
1000,2.0000000000000013,-7013.0519238674,-5503.8908410895565,289.02888927650065,61.2
1500,2.999999999999891,-6886.322461994669,-5309.952218676207,301.9005364730382,61.3
2000,3.999999999999781,-6868.44426037814,-5138.446058122156,331.3227889020484,60.9
2500,4.999999999999671,-6925.760886993664,-5200.397015800634,330.4352391401635,61
3000,5.999999999999561,-6894.589853200587,-5218.062120602057,321.0823244277455,60.9
3500,6.999999999999451,-7033.337963214502,-5409.827334883081,310.928686798306,61
4000,7.999999999999341,-7021.873088391378,-5464.649362766375,298.2336669747424,61
4500,8.999999999999675,-6905.717720116043,-5277.825355318038,311.7678605873013,60.9
5000,10.000000000000009,-6977.472149325342,-5340.36873931266,313.5319255356058,60.9
5500,11.000000000000343,-7019.663206129739,-5382.835506999494,313.47912241801845,60.9
6000,12.000000000000677,-6929.671031812633,-5243.332562319177,322.96124008498293,60.9
6500,13.00000000000101,-6944.603797577895,-5321.01489551425,310.94367749091157,60.9
7000,14.000000000001345,-6965.69310720421,-5393.3375441715625,301.1316599117149,61
7500,15.000000000001679,-6931.874095031252,-5308.359771810093,310.929394429777,61
8000,16.00000000000201,-6958.380233096766,-5313.377985386755,315.0446814052655,60.9
8500,17.000000000001457,-6904.754496310596,-5366.78622544799,294.5459342562139,60.9
9000,18.000000000000902,-6905.382641845401,-5256.904278863992,315.710414008203,60.9
9500,19.000000000000348,-6999.393988079031,-5388.154181944354,308.57862479994986,60.9
10000,19.999999999999794,-6944.804661371707,-5338.730507269154,307.58931843214583,60.9
10500,20.99999999999924,-7013.770481024811,-5442.927959933533,300.8418877749075,60.9
11000,21.999999999998685,-6989.013128896744,-5420.762989630981,300.3454044980994,60.9
11500,22.99999999999813,-6982.303982410835,-5416.728224329674,299.833217010555,60.9
12000,23.999999999997577,-7078.626639864997,-5436.604327601586,314.47397530763624,61
12500,24.999999999997023,-6982.892125716729,-5340.767865259163,314.4935000446949,61
13000,25.99999999999647,-6938.197138890082,-5363.22099366944,301.63354401653135,61
13500,26.999999999995914,-6877.388131627833,-5293.708888523274,303.3003287907736,61
14000,27.99999999999536,-6910.510641370364,-5205.540496536373,326.52950890034555,61
14500,28.999999999994806,-6856.643895234942,-5062.684813907854,343.5723373737347,61
15000,29.99999999999425,-7019.227539865109,-5292.841642160255,330.630973837337,61
15500,30.999999999993697,-7015.595790889373,-5471.531360058868,295.713448025606,61
16000,31.999999999993143,-6946.658755342407,-5382.745809923007,299.5147613452267,61
16500,32.999999999994365,-6938.178528507715,-5332.335212442695,307.54510919407835,61.1
17000,33.99999999999559,-7022.078565003565,-5411.376325681167,308.4756720135056,61.1
17500,34.99999999999681,-6865.743336245497,-5402.308038780036,280.271657798064,61.1
18000,35.99999999999803,-6985.912414766135,-5347.60072700612,313.7633303731905,61.1
18500,36.999999999999254,-6999.001752292819,-5492.80153621132,288.4618351546406,61.1
