#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7082.052045152281,-5670.230311328985,270.38682102262953,0
1000,2.0000000000000013,-7070.7580083169105,-5600.197674897867,281.6362180502596,58.9
1500,2.999999999999891,-6872.56919903548,-5426.312867095233,276.9816065362513,58.7
2000,3.999999999999781,-6884.168703210368,-5237.07046490324,315.4460976895392,58.6
2500,4.999999999999671,-7071.015210981056,-5318.544084278134,335.6267193875454,58.5
3000,5.999999999999561,-7025.857186912461,-5519.509967379903,288.4899887060831,58.6
3500,6.999999999999451,-7149.862699697596,-5594.1012317055065,297.9536208588571,58.7
4000,7.999999999999341,-7035.187499493014,-5345.87935872819,323.52998042613973,58.8
4500,8.999999999999675,-7027.862419136072,-5384.11878625078,314.8036361987818,58.8
5000,10.000000000000009,-6985.85300479589,-5394.095868136484,304.84737676894844,58.9
5500,11.000000000000343,-7026.383348699184,-5482.973207222256,295.5881409743656,58.9
6000,12.000000000000677,-7104.815944186044,-5483.601604375084,310.4889102044743,58.8
6500,13.00000000000101,-6885.46401516816,-5216.579071124439,319.61860613274047,58.9
7000,14.000000000001345,-6937.394147641609,-5361.600888262659,301.7900346657291,58.9
7500,15.000000000001679,-6961.60661243792,-5232.121593311958,331.22450598728307,58.9
8000,16.00000000000201,-7047.812238953916,-5459.597529700617,304.1689443138487,58.9
8500,17.000000000001457,-6926.9862425295605,-5340.8638954108455,303.76822293915626,58.9
9000,18.000000000000902,-7132.372651931597,-5370.118314752085,337.5003632880375,58.9
9500,19.000000000000348,-7028.199227102136,-5490.220475996607,294.5479413931631,58.9
10000,19.999999999999794,-7015.908018627413,-5370.512953913734,315.1199122494444,58.9
10500,20.99999999999924,-7036.3656636543665,-5345.353443408363,323.8563393584662,58.9
11000,21.999999999998685,-6978.381567087581,-5340.239972793439,313.7307547084218,58.9
11500,22.99999999999813,-7046.570771908695,-5399.755723696429,315.3918621811457,59
12000,23.999999999997577,-7027.978685615004,-5362.359107736199,318.9932354108891,59
12500,24.999999999997023,-6928.475157239576,-5227.081118212693,325.84462648377746,58.9
13000,25.99999999999647,-6833.721725264702,-5253.5346431289345,302.6315231758512,59
13500,26.999999999995914,-6964.337374285267,-5395.040341914573,300.5459015522327,59
14000,27.99999999999536,-7013.965363238167,-5369.527449744128,314.93660222572396,59
14500,28.999999999994806,-7038.680898570377,-5435.392654588019,307.0557713397562,58.9
15000,29.99999999999425,-7029.577335830503,-5386.225735794509,314.728555532917,58.9
15500,30.999999999993697,-7080.289179222648,-5546.237884492346,293.79576962914956,58.9
16000,31.999999999993143,-7011.74601759347,-5435.145656027147,301.94460785967857,59
16500,32.999999999994365,-7025.207880593394,-5400.193362413117,311.2167061605659,59
17000,33.99999999999559,-6869.919045009323,-5103.191940343732,338.35697099760944,59
17500,34.99999999999681,-6874.32940399993,-5300.678960365258,301.3796506043055,59
18000,35.99999999999803,-7018.206691884842,-5339.58679948424,321.4830070524716,59
18500,36.999999999999254,-7046.377348157108,-5386.390117324027,317.914549358603,59
19000,38.000000000000476,-7119.021471955375,-5556.06574756448,299.3314379519732,59
19500,39.0000000000017,-7007.675312730139,-5488.698262264619,290.9088067156126,59
20000,40.00000000000292,-6994.632059236348,-5389.044244818644,307.4961764736586,59
20500,41.00000000000414,-7017.012736251518,-5310.38544762447,326.84687888513014,59
21000,42.000000000005365,-6984.471612946087,-5360.570866881895,311.0034006882124,59
21500,43.00000000000659,-7020.646272332946,-5417.523600184981,307.02406164094646,59
22000,44.00000000000781,-6924.689861719115,-5337.882933407351,303.89933137026054,59
22500,45.00000000000903,-7077.770681819341,-5457.30307749475,310.34589821544836,59
23000,46.00000000001025,-7182.66525417531,-5578.277521016029,307.26634139699115,59
23500,47.000000000011475,-7001.255515985631,-5434.896115559177,299.98329726324306,59
24000,48.0000000000127,-7039.4181101554395,-5446.893673855841,304.9943271278449,59
24500,49.00000000001392,-7010.905951750428,-5284.506559195883,330.6335583205058,59
25000,50.00000000001514,-6967.599614415891,-5285.859512694839,322.080577878072,58.9
25500,51.000000000016364,-6919.1269307243065,-5363.129690103789,297.9987751513274,58.9
26000,52.000000000017586,-7123.5259003131505,-5563.858186767979,298.70173040550037,58.9
26500,53.00000000001881,-7042.39198997487,-5550.313920836248,285.75721436122166,58.9
27000,54.00000000002003,-7074.21765917584,-5451.986540650298,310.68363986313653,58.9
27500,55.00000000002125,-7064.757752035324,-5586.38510494612,283.132403161666,59
28000,56.000000000022474,-7023.386155824286,-5602.1925357096625,272.1816896527047,59
28500,57.0000000000237,-7039.472626887949,-5493.786475667015,296.0240338527332,59
29000,58.00000000002492,-7026.821750028048,-5432.293431501748,305.3781031613207,59
29500,59.00000000002614,-6985.5042533877,-5458.884674763617,292.3724751405021,59
30000,60.00000000002736,-6971.039759715559,-5403.6061269565735,300.1890302240513,59
30500,61.000000000028585,-7150.800428228818,-5502.3880505225225,315.6977767549686,59
31000,62.00000000002981,-7038.993592303503,-5485.102306431747,297.5954505699773,59
31500,63.00000000003103,-7089.859722804491,-5436.885288632891,316.57148475607636,59
32000,64.00000000003224,-6972.101739859699,-5343.6915516022655,311.8670322006089,59
32500,65.00000000002991,-7044.029445064668,-5360.231129814974,322.4747592394031,59
33000,66.00000000002758,-7035.660177597856,-5435.406134450945,306.4746725377006,59
33500,67.00000000002525,-7036.388388065649,-5402.889513818026,312.8415983197631,59
34000,68.00000000002292,-6961.710028145872,-5327.4526889503095,312.98685669142367,59
34500,69.00000000002059,-7037.002465888998,-5360.444508053799,321.0881130520893,59
35000,70.00000000001826,-6871.751551753057,-5178.0187631230065,324.3773724457989,59
35500,71.00000000001593,-7063.515877482383,-5336.856465180968,330.68335633046314,59
36000,72.0000000000136,-7016.80641855326,-5428.65947694024,304.1559657087004,59
36500,73.00000000001127,-7044.484255274887,-5421.225466934175,310.8804553446722,59
37000,74.00000000000894,-7076.965491092315,-5371.37422008469,326.6484646633284,59
37500,75.00000000000661,-6991.596523488275,-5297.938482758856,324.3630570072803,59
38000,76.00000000000428,-6973.714596769067,-5314.999878588979,317.67084249199877,59
38500,77.00000000000195,-7053.491052230518,-5571.767369685533,283.7741809458691,59
39000,77.99999999999962,-6984.902686090329,-5507.4087525366085,282.96411523001217,59
39500,78.99999999999729,-7162.995390530973,-5442.573592299727,329.48875180016495,59
40000,79.99999999999496,-6954.997817125177,-5315.732250756935,313.9460136386063,59
40500,80.99999999999262,-6914.1824879341475,-5203.488982261547,327.6256255740323,59
41000,81.9999999999903,-7039.41565151101,-5367.619469725416,320.17615550275514,59
41500,82.99999999998796,-7018.981603826691,-5334.410253713268,322.6228079868732,59
42000,83.99999999998563,-7021.924966256884,-5531.91859332026,285.3604508486882,59
42500,84.9999999999833,-7042.542180162934,-5416.184181831587,311.47400445712265,59
43000,85.99999999998097,-6998.095923663695,-5369.383416462034,311.9249311947286,59
43500,86.99999999997864,-7023.466225422685,-5319.947977993312,326.2514469366567,59
44000,87.99999999997631,-7115.817294619132,-5505.339210664264,308.4327426154169,59
44500,88.99999999997398,-7059.338187959533,-5451.0337585415855,308.01645242370284,59
45000,89.99999999997165,-7006.306755984909,-5380.907467193817,311.290395989663,59
45500,90.99999999996932,-7026.646861577266,-5502.339476562598,291.9296524634878,59
