#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7158.9193549351985,-5773.3175604926855,265.365276243476,0
1000,2.0000000000000013,-7053.914129452176,-5555.817504724966,286.90986562997597,59.4
1500,2.999999999999891,-6992.950745603466,-5424.109209319147,300.45866664443037,59.3
2000,3.999999999999781,-6991.323801479276,-5300.848328474996,323.7535435331113,59.4
2500,4.999999999999671,-6999.17818103864,-5411.785160893776,304.01157748730384,59.5
3000,5.999999999999561,-6976.930834886514,-5441.108597653887,294.13493391734954,59.6
3500,6.999999999999451,-6929.9319508271565,-5355.473870736461,301.5343261193895,59.5
4000,7.999999999999341,-6814.863320835023,-5259.653004841581,297.84806628830177,59.4
4500,8.999999999999675,-7013.214211294774,-5245.1363182938885,338.61566893029084,59.4
5000,10.000000000000009,-6871.295511794851,-5238.901176138601,312.63006121754745,59.4
5500,11.000000000000343,-6878.427471987419,-5304.950223920215,301.34648083663524,59.4
6000,12.000000000000677,-6942.878081386873,-5297.169313915414,315.1799914289827,59.4
6500,13.00000000000101,-7014.865238136908,-5303.819584243838,327.6930676848743,59.4
7000,14.000000000001345,-6956.062241340209,-5365.4922643798345,304.62001638103436,59.5
7500,15.000000000001679,-7078.233693324659,-5474.745640938123,307.0940378984333,59.4
8000,16.00000000000201,-6949.193148919265,-5356.388903161437,305.0479151893474,59.4
8500,17.000000000001457,-7084.932883023842,-5430.255042526227,316.89771476824217,59.4
9000,18.000000000000902,-6939.397664816946,-5329.748214482357,308.2740458019226,59.4
9500,19.000000000000348,-7064.617158798367,-5466.27301527206,306.1088957016345,59.3
10000,19.999999999999794,-6969.936114588761,-5292.206191425491,321.31256347087395,59.3
10500,20.99999999999924,-6918.176857037268,-5228.756320919386,323.5515059640196,59.3
11000,21.999999999998685,-6918.240098254839,-5262.458098901703,317.1091791448668,59.3
11500,22.99999999999813,-6938.743322093056,-5341.88121091103,305.8250624069464,59.3
12000,23.999999999997577,-7017.153285676339,-5302.42566428494,328.3982243368303,59.3
12500,24.999999999997023,-7024.228924914536,-5457.272832912246,300.0975734033932,59.3
