#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7129.907658055035,-5810.441795481174,252.6991697904271,0
1000,2.0000000000000013,-6970.202003073767,-5452.949650476529,290.57849902686036,59.5
1500,2.999999999999891,-6874.206736212065,-5230.979955846295,314.704650536256,59.6
2000,3.999999999999781,-6895.486397950194,-5325.389385845497,300.6991106805366,59.7
2500,4.999999999999671,-6883.213492820569,-5192.650178086452,323.7703666528543,59.9
3000,5.999999999999561,-6902.189164219753,-5238.418906300564,318.6390605650465,59.8
3500,6.999999999999451,-6895.788359796747,-5279.67978559743,309.5110730600635,59.7
4000,7.999999999999341,-6860.136399799163,-5283.207112378594,302.00760250974747,59.6
4500,8.999999999999675,-7018.389753758178,-5315.269049363818,326.17531098062057,59.6
5000,10.000000000000009,-6943.142189970205,-5213.746713853654,331.20735704483565,59.7
5500,11.000000000000343,-6803.328712038663,-5191.148498939276,308.75872802655675,59.6
6000,12.000000000000677,-6782.327548170041,-5080.308538829446,325.96431846209845,59.7
6500,13.00000000000101,-6911.830476398465,-5224.619259915353,323.1283853260829,59.7
7000,14.000000000001345,-6863.449099155558,-5292.674296614911,300.8289185712251,59.7
7500,15.000000000001679,-6910.333117653935,-5298.075324788934,308.77358581327115,59.7
8000,16.00000000000201,-6735.697364873947,-5183.483111857251,297.2742715063837,59.6
8500,17.000000000001457,-6908.539625470752,-5101.741898619294,346.03114677325414,59.6
9000,18.000000000000902,-6919.895876650011,-5297.03025387187,310.8051577457952,59.5
9500,19.000000000000348,-6928.202339120542,-5379.505875369332,296.6005576558777,59.5
10000,19.999999999999794,-7006.878238682391,-5479.009323612023,292.61174338663125,59.5
10500,20.99999999999924,-6936.618802040288,-5449.536037344225,284.8005323270061,59.5
11000,21.999999999998685,-6958.846979265796,-5399.794199648815,298.5839605582179,59.6
11500,22.99999999999813,-6848.240759476141,-5297.61663192468,296.9697366212268,59.6
12000,23.999999999997577,-6982.060404746255,-5358.040567800026,311.02620852877425,59.6
12500,24.999999999997023,-6964.721093354941,-5328.118890772554,313.43593616208693,59.6
13000,25.99999999999647,-6941.814411962541,-5322.209485487485,310.1806813784257,59.6
13500,26.999999999995914,-6852.143244368139,-5288.123199837154,299.5352725667372,59.6
14000,27.99999999999536,-6882.160412247164,-5195.025807770761,323.1137128809362,59.6
14500,28.999999999994806,-6849.936550112973,-5301.151270183114,296.6175673984146,59.6
15000,29.99999999999425,-6892.276129203101,-5186.911792760908,326.60500300364635,59.6
15500,30.999999999993697,-6939.606432725087,-5396.2300655487,295.58167264657556,59.6
16000,31.999999999993143,-6956.3195458931405,-5282.354988835981,320.5914346293023,59.6
16500,32.999999999994365,-7035.875120615448,-5375.194671694088,318.04731189559675,59.6
17000,33.99999999999559,-7016.053010275462,-5266.402433876732,335.0865381366025,59.5
17500,34.99999999999681,-6941.365755739961,-5285.4816667256555,317.1287309751594,59.6
18000,35.99999999999803,-6952.599333747304,-5238.616543282613,328.2555771019514,59.6
18500,36.999999999999254,-6847.286031252398,-5093.358569567393,335.90563121948253,59.6
19000,38.000000000000476,-6855.043586716912,-5255.845094831838,306.2725173057211,59.6
19500,39.0000000000017,-6984.0371401317825,-5441.493119047582,295.4222648343388,59.6
20000,40.00000000000292,-7006.004685430188,-5335.703819712141,319.88977815904246,59.6
20500,41.00000000000414,-7024.502911379858,-5406.764236845304,309.8232637828959,59.6
21000,42.000000000005365,-6911.847344575761,-5323.127717229169,304.26564433967457,59.6
21500,43.00000000000659,-6959.915970676704,-5242.629022510877,328.8883770338154,59.6
22000,44.00000000000781,-7017.633125843537,-5382.138193862213,313.2238758355875,59.6
22500,45.00000000000903,-6927.4799790229135,-5343.14618034273,303.42568682786555,59.6
23000,46.00000000001025,-6980.090738585908,-5301.3742630581955,321.5015042919446,59.6
23500,47.000000000011475,-7109.0937567618175,-5413.304562995634,324.77120747055636,59.6
24000,48.0000000000127,-6984.210338811255,-5314.766808011358,319.7255845802664,59.6
24500,49.00000000001392,-7010.245744488946,-5295.787235883543,328.3466848620094,59.6
25000,50.00000000001514,-6928.357965604256,-5273.009969344628,317.02606049471694,59.6
25500,51.000000000016364,-6883.295759600671,-5287.247427882448,305.6692104059751,59.6
26000,52.000000000017586,-6969.617989839031,-5326.264186688756,314.72897746512876,59.7
26500,53.00000000001881,-6895.455649544669,-5238.135618698296,317.40373718723583,59.7
27000,54.00000000002003,-6980.006231162044,-5392.519841332809,304.02945930023554,59.7
27500,55.00000000002125,-7051.887694911232,-5405.967567477208,315.22047029894213,59.7
28000,56.000000000022474,-7019.231307157602,-5418.951076769424,306.47968782025913,59.7
28500,57.0000000000237,-7039.855545521006,-5508.230908219302,293.331025269355,59.7
