#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7170.533161654517,-5792.267446803706,263.96029770259634,0
1000,2.0000000000000013,-7008.976848417837,-5490.647082454013,290.78484120742,60.1
1500,2.999999999999891,-7010.184948696234,-5442.054998263508,300.322386382066,59.9
2000,3.999999999999781,-6961.289425220544,-5424.79772873863,294.26314625031074,59.9
2500,4.999999999999671,-7046.493942090536,-5550.573350379543,286.49311992079794,59.7
3000,5.999999999999561,-7006.093912488057,-5439.390788091716,300.04912599310364,59.7
3500,6.999999999999451,-6968.633005394207,-5281.872212834388,323.0421218199943,59.5
4000,7.999999999999341,-7038.396225864843,-5450.545135431017,304.09930539676304,59.5
4500,8.999999999999675,-6997.04170757791,-5359.592730117729,313.59810732140767,59.4
5000,10.000000000000009,-6944.682966975301,-5280.931050682486,318.6355478453249,59.4
5500,11.000000000000343,-7040.419402941736,-5376.243797317347,318.71669124234234,59.4
6000,12.000000000000677,-7017.134898646266,-5338.95877077462,321.3980189286935,59.3
6500,13.00000000000101,-6944.467826973529,-5282.482767986572,318.29716593868153,59.3
7000,14.000000000001345,-6939.048136858018,-5365.042263107775,301.4477212514293,59.3
7500,15.000000000001679,-7011.519542753627,-5277.67785676715,332.05887853903533,59.3
8000,16.00000000000201,-6971.81943486322,-5468.811511838366,287.8504591213353,59.3
8500,17.000000000001457,-6956.652908293177,-5371.717006598029,303.5409993466093,59.3
9000,18.000000000000902,-7005.235896921997,-5344.538942996215,318.0504728723472,59.3
9500,19.000000000000348,-6915.974121031601,-5262.164537664326,316.7314294082149,59.3
10000,19.999999999999794,-6975.278843240021,-5359.918313983466,309.3678102888442,59.3
10500,20.99999999999924,-7050.809111840992,-5508.457330863597,295.3854477276836,59.3
11000,21.999999999998685,-7074.883774826714,-5440.57057558069,312.9975547994814,59.3
11500,22.99999999999813,-6924.116234332778,-5146.325215369434,340.4758905066151,59.3
12000,23.999999999997577,-7031.683063022552,-5269.245531853408,337.5354479161465,59.2
12500,24.999999999997023,-6930.365366256251,-5196.854903886409,331.99544383010266,59.2
13000,25.99999999999647,-6938.5161087748875,-5218.684445759678,329.3757313095357,59.2
13500,26.999999999995914,-6878.577379450228,-5251.217907124051,311.6658030130677,59.2
14000,27.99999999999536,-7006.008792632772,-5371.9170069755955,312.9551504965972,59.2
14500,28.999999999994806,-7072.706793418979,-5382.6896254549165,323.6657706649693,59.2
15000,29.99999999999425,-7075.362340709871,-5502.234870146618,301.279492756559,59.2
15500,30.999999999993697,-6954.282775640945,-5387.3947875432805,300.08453039815413,59.2
16000,31.999999999993143,-6998.533883648117,-5395.026453516773,307.09774905168445,59.2
16500,32.999999999994365,-6923.5786926395685,-5239.808028815654,322.4694635417,59.2
17000,33.99999999999559,-6939.362921720756,-5397.047192868205,295.3785431594978,59.2
17500,34.99999999999681,-6898.893089366544,-5345.855417279394,297.43196964878774,59.2
18000,35.99999999999803,-7040.720076855555,-5334.6559961447365,326.7390154103048,59.2
18500,36.999999999999254,-6949.199943428912,-5321.636060725231,311.704950924474,59.2
19000,38.000000000000476,-7073.627291873063,-5406.545772235421,319.273221031752,59.2
19500,39.0000000000017,-6945.005061338912,-5330.955527891205,309.1167332720819,59.2
20000,40.00000000000292,-6996.275614213169,-5351.1886289179365,315.0609100308354,59.2
20500,41.00000000000414,-7032.633723468354,-5373.279180354074,317.7933793717072,59.2
21000,42.000000000005365,-7034.207144554433,-5422.9015753014655,308.5912195065399,59.2
21500,43.00000000000659,-7061.122927407077,-5483.822531203823,302.07867587658944,59.2
22000,44.00000000000781,-6994.13049749355,-5335.563852118856,317.64248414181117,59.2
22500,45.00000000000903,-7021.295492988755,-5370.675029194649,316.1206611486025,59.2
23000,46.00000000001025,-7027.110939031493,-5417.51727572513,308.26336167881067,59.2
23500,47.000000000011475,-7120.273420485692,-5453.621492659776,319.1909472137996,59.2
24000,48.0000000000127,-7043.153776414783,-5445.725561887386,305.93348040353794,59.2
24500,49.00000000001392,-7050.750342519097,-5454.636932375565,305.68167398272493,59.2
25000,50.00000000001514,-7128.4944189829175,-5522.575457647312,307.55959649353633,59.2
25500,51.000000000016364,-6998.340645917633,-5397.9579211011005,306.4993171700498,59.2
26000,52.000000000017586,-6985.918359468058,-5414.937800271315,300.86832431687515,59.2
26500,53.00000000001881,-6936.909595639916,-5348.558906893793,304.1949865980182,59.2
27000,54.00000000002003,-6894.374960502984,-5252.92725449448,314.36392886559497,59.2
27500,55.00000000002125,-6997.281932211156,-5392.452838415692,307.3508691362115,59.1
28000,56.000000000022474,-7009.188982636683,-5294.295352262197,328.4300177567237,59.2
28500,57.0000000000237,-7023.721556593988,-5413.537819532651,308.3763703986468,59.2
29000,58.00000000002492,-7004.353034171328,-5408.277502545607,305.674419630585,59.2
29500,59.00000000002614,-7041.55843117164,-5440.0837592309845,306.7084428015252,59.2
30000,60.00000000002736,-7065.200988635497,-5270.849612551058,343.64746819925085,59.2
30500,61.000000000028585,-6912.180399134086,-5344.364215365913,300.2622949633418,59.2
31000,62.00000000002981,-7045.516269785985,-5365.55963524171,321.7390149110388,59.2
31500,63.00000000003103,-7008.990560075321,-5457.73554932865,297.09056101250985,59.2
32000,64.00000000003224,-7070.85451272154,-5575.3464066871575,286.4141222058995,59.2
32500,65.00000000002991,-6964.524610740809,-5438.092877823498,292.3364996329149,59.2
33000,66.00000000002758,-7080.1031322342515,-5462.253591632359,309.84449643769136,59.2
33500,67.00000000002525,-7168.872587633219,-5605.899235307692,299.3348139881202,59.2
34000,68.00000000002292,-7180.170773074085,-5620.309759682278,298.7387504695664,59.2
34500,69.00000000002059,-7126.039693876645,-5484.122049979843,314.4539296133173,59.2
35000,70.00000000001826,-7137.678211879043,-5494.349281961126,314.72421383664465,59.2
35500,71.00000000001593,-7087.173431808645,-5588.293457400981,287.05988983258777,59.2
36000,72.0000000000136,-7188.317946149534,-5633.650578081468,297.7440829311921,59.2
36500,73.00000000001127,-7082.517862015511,-5687.852730756831,267.10105263143714,59.2
37000,74.00000000000894,-7126.366707622623,-5620.058301768271,288.4825552555201,59.2
37500,75.00000000000661,-7133.734591989754,-5546.497333218028,303.9817466513621,59.2
38000,76.00000000000428,-7011.826215280606,-5428.701884875423,303.1940539848723,59.2
38500,77.00000000000195,-7011.090190434285,-5404.888429764429,307.61375716491807,59.2
39000,77.99999999999962,-6952.534325182358,-5433.026344139465,291.0104885551538,59.2
