#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
16500,32.999999999994365,-6992.001636109113,-5423.402139114582,300.4123121844016,29.5
17000,33.99999999999559,-7062.185684785413,-5412.783897995387,315.88726468423886,29.5
17500,34.99999999999681,-7051.187541187908,-5372.7750121546005,321.443293595499,29.5
18000,35.99999999999803,-7050.415017899114,-5376.753236816286,320.53344810648576,29.5
18500,36.999999999999254,-7169.630137153884,-5482.266763194067,323.15752595725144,29.5
19000,38.000000000000476,-7058.66108865874,-5551.67237584591,288.61284510119646,29.5
19500,39.0000000000017,-7172.201185878158,-5621.17663862219,297.04642350625113,29.5
20000,40.00000000000292,-7010.514294746349,-5558.111154179522,278.1588203474276,29.5
20500,41.00000000000414,-7082.927766321702,-5492.942935442784,304.5079513908104,29.5
21000,42.000000000005365,-7063.694135401868,-5439.11134963849,311.13402238191225,29.5
21500,43.00000000000659,-6901.37995495579,-5252.31230117713,315.8232727789026,29.5
22000,44.00000000000781,-6877.718084742348,-5239.620501795052,313.72232581978966,29.5
22500,45.00000000000903,-6987.114440581828,-5234.520184306686,335.6503007029541,29.5
23000,46.00000000001025,-6912.807624332877,-5239.842460327781,320.40003460773755,29.5
23500,47.000000000011475,-7014.168523902501,-5365.365404900919,315.77261006723705,29.5
24000,48.0000000000127,-6924.806975325265,-5168.846485946752,336.2949890838142,29.5
24500,49.00000000001392,-6979.287940120017,-5249.552187421334,331.27252554387974,29.4
25000,50.00000000001514,-7027.876588814657,-5423.731440911009,307.2198823756247,29.4
25500,51.000000000016364,-7051.234271300247,-5483.337995531177,300.27763388396704,29.4
26000,52.000000000017586,-7047.546986053514,-5494.041541944125,297.52155559793886,29.4
26500,53.00000000001881,-6907.9822416018815,-5178.8586279223655,331.1552909671259,29.4
27000,54.00000000002003,-7049.249989526143,-5256.5070507951,343.3394262897236,29.4
27500,55.00000000002125,-7029.020027814083,-5386.407934453791,314.5869279786884,29.4
28000,56.000000000022474,-6992.7823342201555,-5372.991516518734,310.21628257123115,29.4
28500,57.0000000000237,-7004.316148733696,-5325.148452725768,321.5879203516375,29.4
29000,58.00000000002492,-6947.9276188573185,-5251.954119519121,324.80650498476786,29.4
29500,59.00000000002614,-7124.078502709488,-5419.661500866231,326.42357302242806,29.4
30000,60.00000000002736,-7021.147908365913,-5459.464401991847,299.08778751298587,29.4
30500,61.000000000028585,-7033.2501197105485,-5395.975643704626,313.5646874551806,29.4
31000,62.00000000002981,-6945.593103183855,-5283.206816915934,318.37400748773035,29.4
31500,63.00000000003103,-7077.074905219578,-5448.869912303205,311.8277339559163,29.4
32000,64.00000000003224,-7057.404146811794,-5391.011777862592,319.1412374679715,29.4
32500,65.00000000002991,-7118.890822401627,-5394.09338035512,330.3267587473535,29.4
33000,66.00000000002758,-7119.472297976194,-5580.793594720002,294.6819936126122,29.4
33500,67.00000000002525,-7160.776032575444,-5496.460871797525,318.7434183236843,29.4
34000,68.00000000002292,-7047.474309740374,-5478.994872721667,300.3893187466202,29.4
34500,69.00000000002059,-7075.658628094522,-5539.63968688562,294.17260592759925,29.4
35000,70.00000000001826,-6965.412814138461,-5465.66404369497,287.22627840177944,29.4
35500,71.00000000001593,-6966.099324045013,-5344.358310643226,310.5897767618652,29.4
36000,72.0000000000136,-7080.012692475109,-5556.502494989996,291.77697808774235,29.4
36500,73.00000000001127,-7086.6342166409195,-5435.774437958492,316.16649384144654,29.4
37000,74.00000000000894,-6958.4368999131,-5310.313196602635,315.6424909137541,29.4
37500,75.00000000000661,-7066.363137976685,-5454.399410041727,308.71726759709446,29.4
38000,76.00000000000428,-7015.68034417295,-5445.90709094573,300.63710559054425,29.4
38500,77.00000000000195,-6986.691318796902,-5410.009473123404,301.9602133912943,29.4
39000,77.99999999999962,-7051.154204840208,-5441.794008064526,308.21864904156087,29.4
39500,78.99999999999729,-7109.034315863626,-5449.638300794935,317.80132192539224,29.4
40000,79.99999999999496,-7024.737473253166,-5520.43777801012,288.0978545078735,29.4
40500,80.99999999999262,-6948.913289600424,-5368.113903547957,302.7487893331638,29.4
41000,81.9999999999903,-6873.00017906026,-5279.575098723565,305.16681510719064,29.4
41500,82.99999999998796,-6959.898780021325,-5328.037366454377,312.5279979710858,29.4
42000,83.99999999998563,-7024.017242730638,-5273.545147633671,335.24387232682295,29.4
42500,84.9999999999833,-6929.943352467364,-5330.141723488763,306.3880278673259,29.4
43000,85.99999999998097,-6982.569560780788,-5317.630639101084,318.8628786799542,29.4
43500,86.99999999997864,-7008.134329013848,-5333.651292957644,320.6907317891069,29.4
44000,87.99999999997631,-7060.9801237591055,-5318.027149225234,333.8038384633157,29.4
44500,88.99999999997398,-7036.523513351234,-5431.578007259239,307.37316398408996,29.4
45000,89.99999999997165,-7058.9781606644465,-5348.7090156415725,327.5443536086717,29.4
45500,90.99999999996932,-7129.941568318733,-5527.884198859186,306.8200388521995,29.4
46000,91.99999999996699,-6986.234480094682,-5333.354444718885,316.55340585157023,29.4
46500,92.99999999996466,-6966.052327758072,-5273.024790670335,324.2423053066701,29.4
47000,93.99999999996233,-7010.511053254895,-5363.901366688648,315.35253208634924,29.4
47500,94.99999999996,-7014.923895138161,-5498.8255203205845,290.3574935161092,29.4
48000,95.99999999995767,-6955.387624707183,-5373.669958020346,302.9246550076932,29.4
48500,96.99999999995534,-6921.044962450958,-5263.070752630674,317.5290230989754,29.4
49000,97.999999999953,-6888.545704537366,-5348.088991353421,295.022511427712,29.4
49500,98.99999999995067,-7105.82715766197,-5506.426227086827,306.3112876069203,29.4
50000,99.99999999994834,-7178.257618423728,-5426.077027082087,335.5710771411842,29.4
